country,year,pop,continent,lifeExp,gdpPercap
No 8,2011,11,VA,39055,2081
No 1 Surface,2010,173,WV,1983986,2545
Mountaineer Alma A Mine,2007,185,WV,1233880,2296
Pollock Knob Surface Mine,2017,31,WV,148440,3247
Ewing Fork No. 1 Surface Mine,2015,52,WV,318520,2281
Green Ridge #1 Mine,2008,69,WV,245194,2544
Red Cedar Surface Mine,2007,136,WV,921388,2725
Brush Valley,2017,44,PA,691734,2477
Tatum Strip Mine,2014,113,TX,2982948,2189
Locust Summit Strip Mine,2008,5,PA,67343,2167
Gameland S E,2003,10,PA,199570,2635
South Hallsville No 1 Mine,2001,143,TX,3248209,2127
Eagle Hill Strip,2001,4,PA,19855,2431
Lewis Creek,2011,36,KY,46265,597
Liberty Management #8,2010,31,KY,502671,2559
Saddle Fork,2008,8,KY,604,1053
Combs Branch Job,2004,55,KY,1029004,2990
Pegs Branch Surface Mine,2004,24,KY,266166,2370
#1,2002,28,KY,107914,2061
Lost Creek Mine,2002,8,KS,204648,2317
Mark Coal,2001,1,PA,2822,1340
#1,2007,23,KY,151805,1971
Spurlock #5 Surface Mine,2011,7,KY,1976,337
Poplar Lick Mine ,2010,29,KY,184768,2199
Highwall Miner #12,2014,3,KY,79888,2997
No.17 Mine,2012,25,KY,94096,2048
Acosta Mine,2002,9,PA,80025,1779
Kasubick #4,2002,2,PA,14856,2044
Darmac No. 2 Mine,2002,34,PA,243430,2062
Poplar Springs,2015,28,AL,99183,1995
Wildcat Hills Mine-Underground,2014,275,IL,2018114,2336
No 1,2000,21,KY,69997,1360
Sweeps Run #2,2000,3,WV,1587,160
No 8 Mine,2000,45,WV,310344,2069
ABC Corp,2001,6,WV,43231,2557
Flag Run #1,2001,15,WV,141701,1983
Penny #1,2016,2,AR,6644,664
Mine No. 5,2005,13,VA,97764,2156
Waroquier #1,2000,12,PA,75979,2648
West End,2013,14,PA,31694,1568
Long Run,2015,18,PA,195619,1972
No. 50 Mine,2000,34,WV,244634,1921
Oxford Mining #3,2003,57,OH,773414,2579
Fossil #1,2011,1,PA,5848,1186
Mine No. 40,2009,12,WV,38824,1253
MSD Mining #1,2000,14,TN,39190,1335
Pine Forest P-44 & P-48,2000,12,PA,61482,2719
No 10-6A,2001,34,OH,137145,1645
Prime No. 1 Mine,2006,55,WV,732227,2258
Mine 105-A,2003,6,WV,10536,584
Springtown 1,2012,5,KY,46198,635
Carnegie Mine,2011,11,KY,12511,666
Cloverlick # 1A,2006,67,KY,819896,2366
 Oxford Guernsey Mine,2014,26,OH,253245,2383
South Mine/Washplant,2003,24,OH,331018,2339
No 10,2015,10,VA,38625,2012
Tamburlin Strip,2000,19,PA,148434,2001
Jesse Creek H.W.M.,2011,23,AL,168399,2776
Spring Creek Coal Company,2017,245,MT,12725656,1978
N.A.A.M. No 10,2012,4,KY,47306,1217
Job #42,2006,36,KY,565476,2852
Elk Creek Mine,2013,342,KY,3073998,2567
Mine # 1,2016,12,KY,51764,1477
Mine #2,2011,9,KY,3178,786
Rockhampton #3,2016,63,KY,286593,2276
Corinth Mine,2006,22,AL,101719,2514
S-25 Foresters Spur,2007,59,KY,355305,2888
Auger Mine No 6,2012,3,KY,5241,613
Mine #1,2005,81,KY,732978,2437
No. 6,2006,10,KY,39719,1612
Vindex Douglas,2010,33,MD,262067,2483
The American Coal Company New Era Mine,2009,694,IL,6267253,2397
South Mine/Washplant,2000,16,OH,240984,2907
Deep Mine #23,2000,29,VA,110368,784
Phelps No. 1 Surface,2000,55,KY,1233479,2310
Mine No 1,2002,22,WV,157861,1754
Uschak,2015,17,PA,36173,2320
Flag Run #1,2004,17,WV,105641,1326
Tiny Creek No 2 Mine,2007,80,WV,559127,2216
Salem #1,2010,3,WV,14379,1365
Bronzite III,2008,37,WV,189670,2329
Beury Mountain Mine No 3,2008,6,WV,4705,499
Empire/White,2001,4,OH,24156,2294
No.  7,2004,22,KY,53079,1310
Sioux Bank,2005,2,PA,6985,2327
S-20 Bevins Branch,2009,32,KY,206235,2400
Mine #23,2010,107,KY,792450,2485
No 4,2007,14,KY,42594,1350
Dial's Branch,2006,10,KY,133588,2343
Long Fork Mine,2002,18,KY,106970,2397
Locust Summit Strip,2004,1,PA,18627,2493
